2.7872e+05,25827,327,0,0,0,4748,5635,28510,0,287,3.3673e+05,59099,28815,5436,330,5119,2.8787e+05,57744,11085,2522,4855,18592,19126,4006,11291,2081,2746,6420,99,1556,828,3111,2.3008e+05,73725,14505,0,82,0,275,207,411,433,547,367
2.65e+05,23575,2264,0,0,0,49489,4374,2.1448e+05,0,530,2.7462e+05,47010,23769,4055,607,9170,2.39e+05,43863,9424,9371,3354,15513,16062,2980,10645,1809,2091,5750,1484,12678,3302,2230,2.0023e+05,63419,18786,0,783,0,1730,946,2672,2215,3106,1419
2.572e+05,28364,233,0,0,0,2336,6115,17615,0,15,3.1534e+05,56846,27900,4718,506,4785,2.7462e+05,52008,11002,1883,4022,16662,18935,3371,10647,1891,2220,6235,207,845,290,2688,2.1211e+05,64911,12915,0,22,0,309,5,157,446,34,69
1.7964e+05,16633,28,0,0,0,259,3433,4757,0,30,3.5226e+05,63556,14230,3535,530,4156,3.2159e+05,65605,7501,484,2200,20287,22904,3499,12979,2057,1737,3568,65,186,49,1507,1.2532e+05,37545,7936,0,0,0,0,66,0,0,0,31
2.4434e+05,21970,952,0,0,0,28582,4643,1.2836e+05,0,411,2.8412e+05,48816,22266,4849,299,7116,2.4217e+05,44680,9643,7077,3632,14396,17659,2623,10849,2069,1251,6087,791,8023,2987,2222,1.8438e+05,57621,13612,0,740,0,1063,319,1508,1307,2049,884
2.0806e+05,19246,3557,0,0,0,41423,3941,1.8069e+05,0,432,2.6981e+05,45449,17827,3609,489,9304,2.4481e+05,46577,7530,11180,3828,14876,17491,2773,10479,1021,1919,3259,2725,25980,8077,2133,1.6933e+05,54694,15460,0,5333,0,7422,2838,9631,6031,11133,6225
2.9783e+05,25951,154,0,0,0,497,5156,12540,0,108,2.6151e+05,46225,25717,5563,353,4906,2.1481e+05,41890,10113,1407,4799,13953,14970,3349,9371,1856,1785,6699,98,126,5,3121,2.1969e+05,65613,14583,0,43,0,82,187,72,0,79,35
2.1363e+05,19512,1479,0,0,0,65293,3889,2.5841e+05,0,452,2.3101e+05,41994,18902,4142,282,8138,1.9861e+05,39314,9062,9543,3643,13147,13656,2696,8402,1568,1732,3972,799,10606,3024,2021,1.6883e+05,54137,16163,0,609,0,934,278,1133,1472,1976,930
1.6752e+05,16942,2851,0,0,0,52074,3301,2.0846e+05,0,407,2.5639e+05,43841,16690,3215,184,9727,2.3059e+05,44442,8156,12852,2576,15354,15207,2799,10933,1317,1273,3576,2898,28395,8262,2061,1.6782e+05,49334,15860,0,3867,0,5264,2020,5811,3601,4828,3016
2.3552e+05,23867,184,0,0,0,8908,4539,39529,0,60,2.6088e+05,44476,22753,4504,376,4447,2.2068e+05,45660,9513,2361,3055,14485,16703,2280,8620,1448,2592,5213,382,1114,397,2553,1.8517e+05,61094,12432,0,0,0,70,114,55,90,253,176
